ID_FOR;FANTASIA;CNPJ;RESPONSAVEL;INS_MUNICIPAL;INS_ESTADUAL;ENDERECO;BAIRRO;UF;TELEFONE;FAX;EMAIL;CELULAR
139;TRATOR PEÇAS COMÉRCIO LTDA;32756694000188;;;27.075.910-7;AV CHANCELER OSVALDO ARANHA;NOVO PARAÍSO;SE;7932413313;;;
55;PRO MED COM. IND. DE PROD. MED. E HOSP;32773418000128;;;27.077.028-3;RUA SÃO CRISTOVÃO Nº 937;CENTRO;SE;7921070000;7921070001;promed@promed.com.br;
214;INDUSTRIA DE CONFECCOES L & A LTDA;32800062000174;;;;RUA SAO JOAO VILA NETO, 54;D.I.A  ARACAJU;SE;;;;
69;COMERCIAL MARATÁ LTDA;32809139000177;;;270797742;RUA ASCENDINO GARCEZ, 340;CENTRO;SE;7936319229;;;
204;ACNV UTILIDADES DOMESTICAS LTDA;32829517000184;;;;TRAVESSA JOANA ROSA, 103;CENTRO, LAGARTO;SE;;;;
131;TATU PANO LTDA;32851115000186;;;27082262-3;AV: LUIZ ALVES DE OLIVEIRA FILHO Nº 373;CENTRO;SE;7935411116;;;
122;CARLOS ANTONIO DIAS - TON. MADEIRA;32857419000150;CARLOS ANTÔNIO DIAS DA SILVA;;27.082.921-0;AV SIMPLICIANO FERNANDES FONSECA Nº 695;CENTRO;SE;7936451692;;;
107;PISOLAR COMERCIO DE TINTAS LTDA;32868002000193;;;27102915-3;AV. GONÇALO ROLEMBERG LEITE, 2112;SUIÇA;;7932346667;;;
100;SERPAF FERRAGENS E FERRAMENTAS LTDA;32868424000240;;;270888705;MARIANO SALMERON 346;CENTRO;SE;;;;
295;SMS MATERIAL DE CONSTRUÇÃO LTDA ;32874281000106;;;270846336;AV SIMPLICIANO F DA FONSECA;CENTRO;SE;;;;
134;GERONIMO TRINDADE ME;32875924000128;GERONIMO;;271217758;RUA JOSE VIEIRA DAVILA ;CENTRO;SE;;;;
65;CAROL COMERCIO LTDA;32876724000190;;;270958045;RUA GERU ;CENTRO;SE;;;;
177;BATERAUTO PEÇAS E SERVIÇOS LTDA.;32887903000122;;;;AV. PAULO BARRETO DE MENEZES;;;;;;
45;G BARBOSA COMERCIAL LTDA;39.346.861/0008-38;;;271052643; DARIA BARRETO, 23;CENTRO;;;;;
270;Maria do Carmo Santos Silva;42583993534;;;;TV ALVARO DE FREITAS;CENTRO;SE;;;;
269;FAZENDA ESPERANÇA;48555775000826;;;332141632114;RUA JOAO FRANCISCO DOS SANTOS -;GUARATINGUETA- SP;SP;;;;
300;ALBINO SILVA SANTOS;55637949549;;;;POVOADO BELA VISTA;ZONA RURAL;;;;;
273;JOSE AVELARQUE A. GABRIEL;55757618515;;;;POVOADO MUTUMBO;ZONA RURAL;;;;;
263;MERSEDES-BENS;63411623000177;;;;ROD BR 101 KM 92 SN;PALESTINA;SE;;;;
58;COMERCIAL CIRÚRGIA RIOCLARENSE LTDA;67729178000220;;;0629965800021;AV: JOSÉ CÂNDIDO DA SILVEIRA Nº 497;CIDADE NOVA;SE;3134654300;3134654301;;
19;"JOSE DE ANDRADE










";719.676.215-00;;;; POVOADO RIO DAS PEDRAS, 100;ZONA RURAL;;;;;
192;CASA DAS VEDAÇÕES E HIDRAULICA LTDA;74010372000135;;;;RUA: ACRE- 1501;CENTRO;SE;;;;
28;ELDORADO SUPERMERCADO LTDA;86.933.280/0001-06;;;27.086.477-6; COLETORA A, 1149;MARCOS FREIRE I;SE;;;;
162;ADMINISTRAÇAO E FINANCAS;88888888888881;;;;;;;;;;
163;SEC. MUNICIPAL DE SAUDE;88888888888882;;;;;;;;;;
164;SEC. MUNICIPAL DE EDUCAÇAO;88888888888883;;;;;;;;;;
165;SEC. MUNICIPAL DE AÇAO SOCIAL;88888888888884;;;;;;;;;;
166;GABINETE DO PREFEITO;88888888888885;;;;;;;;;;
167;SEC. MUNICIPAL DE OBRAS;88888888888886;;;;;;;;;;
21;JOSEMARCOS SANTOS;967.241.025-53;;;; POVOADO CAMPESTRE, 86;ZONA RURAL;TO;;;;
70;JOSÉ MARCOS SANTOS;96724102553;;;;POV. CAMPESTRE;ZONA RURAL;SE;;;;
88;SALDO INICIAL DO ALMOXARIFADO;99999999999999;;;;;;SC;;;;
